timestamp,device_id,location,data_center,power_kw,voltage_v,current_a
2024-01-01T00:00:00Z,server-001,rack-a1,dc-north,2.1,220,9.5
2024-01-01T01:00:00Z,server-001,rack-a1,dc-north,1.9,220,8.6
2024-01-01T02:00:00Z,server-001,rack-a1,dc-north,1.8,220,8.2
2024-01-01T03:00:00Z,server-001,rack-a1,dc-north,1.7,220,7.7
2024-01-01T04:00:00Z,server-001,rack-a1,dc-north,1.8,220,8.2
2024-01-01T05:00:00Z,server-001,rack-a1,dc-north,2.0,220,9.1
2024-01-01T06:00:00Z,server-001,rack-a1,dc-north,2.3,220,10.5
2024-01-01T07:00:00Z,server-001,rack-a1,dc-north,2.8,220,12.7
2024-01-01T08:00:00Z,server-001,rack-a1,dc-north,3.2,220,14.5
2024-01-01T09:00:00Z,server-001,rack-a1,dc-north,3.5,220,15.9
2024-01-01T10:00:00Z,server-001,rack-a1,dc-north,3.8,220,17.3
2024-01-01T11:00:00Z,server-001,rack-a1,dc-north,4.1,220,18.6
2024-01-01T12:00:00Z,server-001,rack-a1,dc-north,4.3,220,19.5
2024-01-01T13:00:00Z,server-001,rack-a1,dc-north,4.5,220,20.5
2024-01-01T14:00:00Z,server-001,rack-a1,dc-north,4.4,220,20.0
2024-01-01T15:00:00Z,server-001,rack-a1,dc-north,4.2,220,19.1
2024-01-01T16:00:00Z,server-001,rack-a1,dc-north,4.0,220,18.2
2024-01-01T17:00:00Z,server-001,rack-a1,dc-north,3.7,220,16.8
2024-01-01T18:00:00Z,server-001,rack-a1,dc-north,3.4,220,15.5
2024-01-01T19:00:00Z,server-001,rack-a1,dc-north,3.1,220,14.1
2024-01-01T20:00:00Z,server-001,rack-a1,dc-north,2.8,220,12.7
2024-01-01T21:00:00Z,server-001,rack-a1,dc-north,2.5,220,11.4
2024-01-01T22:00:00Z,server-001,rack-a1,dc-north,2.3,220,10.5
2024-01-01T23:00:00Z,server-001,rack-a1,dc-north,2.1,220,9.5
2024-01-02T00:00:00Z,server-001,rack-a1,dc-north,2.0,220,9.1
2024-01-02T01:00:00Z,server-001,rack-a1,dc-north,1.8,220,8.2
2024-01-02T02:00:00Z,server-001,rack-a1,dc-north,1.7,220,7.7
2024-01-02T03:00:00Z,server-001,rack-a1,dc-north,1.6,220,7.3
2024-01-02T04:00:00Z,server-001,rack-a1,dc-north,1.7,220,7.7
2024-01-02T05:00:00Z,server-001,rack-a1,dc-north,1.9,220,8.6
2024-01-02T06:00:00Z,server-001,rack-a1,dc-north,2.2,220,10.0
2024-01-02T07:00:00Z,server-001,rack-a1,dc-north,2.7,220,12.3
2024-01-02T08:00:00Z,server-001,rack-a1,dc-north,3.1,220,14.1
2024-01-02T09:00:00Z,server-001,rack-a1,dc-north,3.4,220,15.5
2024-01-02T10:00:00Z,server-001,rack-a1,dc-north,3.7,220,16.8
2024-01-02T11:00:00Z,server-001,rack-a1,dc-north,4.0,220,18.2
2024-01-02T12:00:00Z,server-001,rack-a1,dc-north,4.2,220,19.1
2024-01-02T13:00:00Z,server-001,rack-a1,dc-north,4.4,220,20.0
2024-01-02T14:00:00Z,server-001,rack-a1,dc-north,4.3,220,19.5
2024-01-02T15:00:00Z,server-001,rack-a1,dc-north,4.1,220,18.6
2024-01-02T16:00:00Z,server-001,rack-a1,dc-north,3.9,220,17.7
2024-01-02T17:00:00Z,server-001,rack-a1,dc-north,3.6,220,16.4
2024-01-02T18:00:00Z,server-001,rack-a1,dc-north,3.3,220,15.0
2024-01-02T19:00:00Z,server-001,rack-a1,dc-north,3.0,220,13.6
2024-01-02T20:00:00Z,server-001,rack-a1,dc-north,2.7,220,12.3
2024-01-02T21:00:00Z,server-001,rack-a1,dc-north,2.4,220,10.9
2024-01-02T22:00:00Z,server-001,rack-a1,dc-north,2.2,220,10.0
2024-01-02T23:00:00Z,server-001,rack-a1,dc-north,2.0,220,9.1
2024-01-03T00:00:00Z,server-001,rack-a1,dc-north,1.9,220,8.6
2024-01-03T01:00:00Z,server-001,rack-a1,dc-north,1.7,220,7.7
2024-01-03T02:00:00Z,server-001,rack-a1,dc-north,1.6,220,7.3
2024-01-03T03:00:00Z,server-001,rack-a1,dc-north,1.5,220,6.8
2024-01-03T04:00:00Z,server-001,rack-a1,dc-north,1.6,220,7.3
2024-01-03T05:00:00Z,server-001,rack-a1,dc-north,1.8,220,8.2
2024-01-03T06:00:00Z,server-001,rack-a1,dc-north,2.1,220,9.5
2024-01-03T07:00:00Z,server-001,rack-a1,dc-north,2.6,220,11.8
2024-01-03T08:00:00Z,server-001,rack-a1,dc-north,3.0,220,13.6
2024-01-03T09:00:00Z,server-001,rack-a1,dc-north,3.3,220,15.0
2024-01-03T10:00:00Z,server-001,rack-a1,dc-north,3.6,220,16.4
2024-01-03T11:00:00Z,server-001,rack-a1,dc-north,3.9,220,17.7
2024-01-03T12:00:00Z,server-001,rack-a1,dc-north,4.1,220,18.6
2024-01-03T13:00:00Z,server-001,rack-a1,dc-north,4.3,220,19.5
2024-01-03T14:00:00Z,server-001,rack-a1,dc-north,4.2,220,19.1
2024-01-03T15:00:00Z,server-001,rack-a1,dc-north,4.0,220,18.2
2024-01-03T16:00:00Z,server-001,rack-a1,dc-north,3.8,220,17.3
2024-01-03T17:00:00Z,server-001,rack-a1,dc-north,3.5,220,15.9
2024-01-03T18:00:00Z,server-001,rack-a1,dc-north,3.2,220,14.5
2024-01-03T19:00:00Z,server-001,rack-a1,dc-north,2.9,220,13.2
2024-01-03T20:00:00Z,server-001,rack-a1,dc-north,2.6,220,11.8
2024-01-03T21:00:00Z,server-001,rack-a1,dc-north,2.3,220,10.5
2024-01-03T22:00:00Z,server-001,rack-a1,dc-north,2.1,220,9.5
2024-01-03T23:00:00Z,server-001,rack-a1,dc-north,1.9,220,8.6
2024-01-01T00:00:00Z,server-002,rack-a2,dc-north,3.8,220,17.3
2024-01-01T01:00:00Z,server-002,rack-a2,dc-north,3.5,220,15.9
2024-01-01T02:00:00Z,server-002,rack-a2,dc-north,3.2,220,14.5
2024-01-01T03:00:00Z,server-002,rack-a2,dc-north,3.0,220,13.6
2024-01-01T04:00:00Z,server-002,rack-a2,dc-north,3.1,220,14.1
2024-01-01T05:00:00Z,server-002,rack-a2,dc-north,3.4,220,15.5
